DATE DE CLASSEMENT;DATE DE PUBLICATION DE L'ETABLISSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION;NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;TÉLÉPHONE;COURRIEL;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION;NOMBRE DE LOGEMENTS
06/06/2013;06/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL LE VICTORIA;35 AVENUE Jean Janvier;35000;RENNES;299316911;diquelou.g@orange.fr;http://www.hotel-levictoria.com;-;73;37;-;-;-
06/06/2013;06/06/2013;HÔTEL;4 étoiles;-;-;HOLIDAY INN BORDEAUX SUD PESSAC;10 avenue BECQUEREL;33600;PESSAC;556075959;contact@hi-pessac.com;www.holidayinn.com;-;180;90;-;-;-
06/06/2013;06/06/2013;HÔTEL;4 étoiles;-;-;HÔTEL PALM BEACH ;5 place de l'étang;6400;CANNES;492188686;contact@palmbeach.fr;http://palmbeach.fr/;-;22;11;-;-;-
06/06/2013;06/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL SAINT TROPHIME;16 rue de la calade;13200;ARLES;490182270;st@hotel-saint-trophime.com;www.hotel-saint-trophime.com;-;49;21;-;-;-
06/06/2013;06/06/2013;HÔTEL;3 étoiles;-;-;LA QUIETAT;203 ROUTE DE REVEL;31400;TOULOUSE;562478686;contact@paxotel.com;http://www.hotel-la-quietat.fr/fr/;-;90;42;-;-;-
06/06/2013;06/06/2013;HÔTEL;3 étoiles;-;-;AUBERGE DU CHEVAL BLANC;4 Route DE WISSEMBOURG;67510;LEMBACH;388944186;cheval-blanc-lembach@orange.fr;http://www.au-cheval-blanc.fr;-;26;13;-;-;-
06/06/2013;06/06/2013;HÔTEL;3 étoiles;-;-;MIDNIGHT HÔTEL PARIS;133 RUE DU FAUBOURG SAINT DENIS;75010;PARIS;140361450;djamel@midnighthotel.fr;http://www.aris-nord.com/;-;60;25;-;-;-
05/06/2013;05/06/2013;HÔTEL;2 étoiles;-;-;LE RELAIS DU BAOU;546 chemin de la mer;83230;BORMES-LES-MIMOSAS;494004350;isab.aubry@wanadoo.fr;www.hotel-bormes-relaisdubaou.com;-;37;12;-;-;-
05/06/2013;05/06/2013;HÔTEL;1 étoile;-;-;HÔTEL F1 DOLE;6 rue alexandre Vialatte;39100;DOLE;891705235;h2340@accor.com;hotelf1.com;-;183;61;-;-;-
05/06/2013;05/06/2013;HÔTEL;2 étoiles;-;-;LES BELLES TERRASSES;1315 route de vence ;6140;TOURRETTES-SUR-LOUP;493593003;contact@bellesterrasses.fr;http://www.bellesterrasses.fr/;-;39;18;-;-;-
04/06/2013;04/06/2013;HÔTEL;4 étoiles;-;-;HÔTEL MATHIS ÉLYSÉES;3 RUE DE PONTHIEU;75008;PARIS;142257301;mathis@book-inn-france.com;http://www.paris-hotel-mathis.com/;-;47;23;-;-;-
04/06/2013;04/06/2013;HÔTEL;3 étoiles;-;-;REPUBLIK HÔTEL;18 rue Bellecordière;69002;LYON;682979906;republikhotellyon@orange.fr;-;-;66;39;-;-;-
04/06/2013;04/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL DE FRANCE;19 quai Gustave Toudouze;29570;CAMARET-SUR-MER;298279306;hotel-france-camaret@wanadoo.fr;www.hotel-france-camaret.com;-;42;20;-;-;-
04/06/2013;04/06/2013;HÔTEL;2 étoiles;-;-;MED HÔTEL;58 RUE DE FRANCE;6000;NICE;493883861;medhotel@wanadoo.fr;www.med-hotel.fr;-;59;27;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;RELAIS SAINT VINCENT;14 Grande Rue;89144;LIGNY-LE-CHÂTEL;386415338;contact@relais-saint-vincent.fr;www.relais-saint-vincent.fr;-;30;15;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL RESTAURANT LA ROUTE VERTE;61 Boulevard de la Jamagne;88400;GÉRARDMER;329631297;inforesa@larouteverte.com;http://www.larouteverte.com;-;60;28;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LE RELAIS;1 Place Royale;87330;MORTEMART;555681209;lerelaisdemortemart@orange.fr;http://le-relais-mortemart.fr/;-;9;4;-;-;-
03/06/2013;03/06/2013;HÔTEL;4 étoiles;-;-;CHÂTEAU DE CURZAY;le château;86600;CURZAY-SUR-VONNE;549361700;info@chateau-curzay.com;www.chateau-curzay.com;-;50;22;-;-;-
03/06/2013;03/06/2013;HÔTEL;1 étoile;-;-;HÔTEL LA CRÉMAILLÈRE;2 rue de la libération ;85590;LES EPESSES;251573001;catherine.jolly65@sfr.fr;-;-;26;10;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;ALCYONS;aiguebelle plage;83980;LE LAVANDOU;494058418;hotellesalcyons@free.fr;http://www.hotellesalcyons.com/;-;54;24;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LE CAPET;35 avenue Georges Pompidou;83120;SAINTE-MAXIME;494550000;info@univac.net;www.univac.net;-;210;91;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;GRAND HOTEL DAUPHINÉ;10 RUE BERTHELOT;83000;TOULON;494922028;contact@grandhoteldauphine.com;http://www.grandhoteldauphine.com;-;110;55;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL LA FIGUIÈRE;ROUTE DE TAHITI;83350;RAMATUELLE;494971821;chaix.cecile@orange.fr;http://www.hotel-lafiguiere.com/;-;90;41;-;-;-
03/06/2013;03/06/2013;HÔTEL;4 étoiles;-;-;LES CORDERIES;214 rue des moulins;80230;SAINT-VALERY-SUR-SOMME;322613061;hotel@lescorderies.com;http://www.lescorderies.com;-;36;18;-;-;-
03/06/2013;03/06/2013;HÔTEL;1 étoile;-;-;HÔTEL PREMIÈRE CLASSE CHELLES;EAE de la Tuilerie;77500;CHELLES;164264816;chelles@premiereclasse.fr;www.premiereclasse.com;-;159;59;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL BALLADINS ÉMERAINVILLE;1 RUE D'EMERY;77184;ÉMERAINVILLE;160063834;emerainville@balladins.eu;www.balladins.com;-;110;49;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL DANDY;93 A RUE CAUCHOISE;76000;ROUEN;235073200;contact@hotels-rouen.net;www.hotels-rouen.net;-;34;18;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;AUBERGE LES TONNELLES;2 chemin des falaises;76400;SAINT-LÉONARD;235287718;les-tonnelles12@orange.fr;www.hotel-lestonnelles-etretat.com;-;13;6;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL DES MÉTALLOS;50 rue de la Folie Méricourt;75011;PARIS;143387363;hoteldemericourt@wanadoo.fr;http://www.hoteldesmetallos.com/;-;48;29;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL MISTRAL;24 rue cels;75014;PARIS;143202543;mistral.hotel@wanadoo.fr;www.hotel-mistral-paris.com;-;74;37;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL PARIS GAMBETTA;12 avenue du père lachaise;75020;PARIS;147977657;contact@hotelparisgambetta.com;www.hotelparisgambetta.com;-;55;28;-;-;-
03/06/2013;03/06/2013;HÔTEL;4 étoiles;-;-;R.KIPLING HOTEL;65 rue Blanche;75009;PARIS;155319199;contact@kipling-hotel.com;http://www.kipling-hotel.com/;-;78;40;-;-;-
03/06/2013;03/06/2013;HÔTEL;1 étoile;-;-;HÔTEL DE L'AVEYRON;5 RUE D'AUSTERLITZ;75012;PARIS;143078686;hotelaveyron@gmail.com;www.hotelaveyron.com;-;51;30;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔ MARAIS;38 Boulevard du Temple;75011;PARIS;148057976;homarais@hotels-emeraude.com;http://www.hotels-emeraude.com/hotel-ho-marais.html;-;79;33;-;-;-
03/06/2013;03/06/2013;HÔTEL;4 étoiles;-;-;HÔTEL MONTAIGNE;6 Avenue Montaigne;75008;PARIS;180974000;resa@montaigne-hotel.com;http://www.montaigne-hotel.com/;-;56;27;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL EDEN;110 rue Blomet;75015;PARIS;148281395;info@hoteledenparis.com;www.hoteledenparis.com;-;80;37;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL BEAUVOIR;43 avenue Georges Bernanos;75005;PARIS;143255710;hotelbeauvoir@wanadoo.fr;www.hotel-beauvoir.fr;-;50;29;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL CLARISSE;159 Boulevard Lefebvre;75015;PARIS;148281835;hotelclarisse@sfr.fr;www.hotelclarisse.fr;-;58;27;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL CAMÉLIA PRESTIGE;6 avenue philippe auguste;75011;PARIS;143736750;hotelcamelianation@gmail.com;www.hotelcamelianation.com;-;59;31;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL GAVARNI;5 rue gavarni;75016;PARIS;145245282;reservation@gavarni.com;www.gavarni.com;-;48;25;-;-;-
03/06/2013;03/06/2013;HÔTEL;4 étoiles;-;-;HOLIDAY INN PARIS GARE DE L'EST;5 RUE DU 8 MAI 1945;75010;PARIS;155260505;janine.scharner@hiparisest.com;www.holidayinn.com;-;412;200;-;-;-
03/06/2013;03/06/2013;HÔTEL;4 étoiles;-;-;HÔTEL LOUIS II;2 rue Saint-Sulpice;75006;PARIS;146331380;direction@hotel-louis2.fr;http://www.hotel-louis2.com;-;46;22;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LA GRANGE À GERMAINE;301 ROUTE D'ARDENT;74110;MONTRIOND;450796238;accueil@grange-germaine.com;www.grange-germaine.com;-;15;5;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL CLUB MMV LE VAL CENIS;Quartier des Sablons;73480;LANSLEBOURG-MONT-CENIS;489066630;courrier@mmv.fr;http://www.mmv.fr/hotel-ski-val-cenis-hiver-hotel-club-mmv-le-val-cenis.html;-;160;55;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LE CHEVAL ROUGE;5 rue d'ALSACE;71500;LOUHANS;385752142;hotel-chevalrouge@wanadoo.fr;http://www.hotel-chevalrouge.com/;-;28;14;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HOSTELLERIE BRESSANE;56 route de Tournus;71290;CUISERY;385323066;hostellerie.bressane@wanadoo.fr;www.hostellerie-bressane.fr;-;33;15;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HOSTELLERIE D'HÉLOÏSE;pont de l'étang;71250;CLUNY;385590565;hostelleriedheloise@aliceadsl.fr;http://www.hostelleriedheloise.com/;-;34;13;-;-;-
03/06/2013;03/06/2013;HÔTEL;1 étoile;-;-;HÔTEL PREMIÈRE CLASSE LYON EST - AÉROPORT SAINT-EXUPÉRY;boulevard de l'Europe;69720;SAINT-LAURENT-DE-MURE;472489611;lyon.stexupery@premiereclasse.fr;http://www.premiereclasse.com/fr;-;175;70;-;-;-
03/06/2013;03/06/2013;HÔTEL;4 étoiles;-;-;LE BOUCLIER D'OR;1 rue du Bouclier;67100;STRASBOURG;388137355;contact@lebouclierdor.com;http://www.lebouclierdor.com;-;58;22;-;-;-
03/06/2013;03/06/2013;HÔTEL;4 étoiles;-;-;CASA 9 HÔTEL;mas petit;66300;THUIR;778805435;contact@casa9hotel.fr;http://www.casa9hotel.fr/;-;22;9;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL DE PARIS;place du panthéon;63240;LE MONT-DORE;473650179;lainoandco@orange.fr;http://www.hotels-de-paris-mont-dore.fr/;-;50;24;-;-;-
03/06/2013;03/06/2013;HÔTEL;1 étoile;-;-;AUBERGE DE LA REINE MARGOT;place de la mairie;63680;LA TOUR-D'AUVERGNE;473215837;olivier.legrand0@orange.fr;http://aubergedelareinemargot.com;-;32;13;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;ARUM HÔTEL;63 route de Limoges;63870;ORCINES;473622629;hotellerie.pichon@wanadoo.fr;http://www.hotel-arum.eu;-;50;17;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LE CHARLES VIII;19 rue d'Hérambault;62630;ÉTAPLES;321090044;hotel-etaples@wanadoo.fr;www.hotel-etaples.com;-;32;14;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL DU PORT DE DECIZE;LA JONCTION;58300;DECIZE;373150000;port-decize@ccsn.fr;www.port-decize.fr;-;34;12;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL-RESTAURANT LE GRAND MONARQUE;10 rue de l'étape;58220;DONZY;386393544;contact@legrandmonarque-donzy.fr;http://www.legrandmonarque-donzy.fr/;-;20;11;-;-;-
03/06/2013;03/06/2013;HÔTEL;1 étoile;-;-;AUX BERGES DU BLAVET;2 place ruynet du tailly;56300;PONTIVY;297255111;auxbergesdublavet@wanadoo.fr;-;-;27;10;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LE THY;19 rue de la gare;56800;PLOERMEL;297740521;info@lethy.com;www.le-thy.com;-;17;7;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL B&B AURAY CARNAC;5 rue d'irlande;56400;AURAY;892702300;bb_4541@hotelbb.com;www.hotel-bb.com;-;92;41;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;BEST HOTEL REIMS CROIX BLANDIN;10 Rue René Francart;51100;REIMS;326043756;reims-blandin@besthotel.fr;http://www.besthotel.fr/reims-blandin;-;140;58;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;LA VILLA GERVAISERIE;17 route des monts;50760;RÉVILLE;233545464;la.gervaiserie@wanadoo.fr;www.lagervaiserie.com;-;22;10;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;IBIS BUDGET CHERBOURG LA GLACERIE;2 RUE DU CHâTEAU D'EAU;50470;LA GLACERIE;892700387;h5491@accor.com;http://ibisbudgethotel.ibis.com;-;119;51;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL LE BUSSY;4 rue Jehanne d'Arc;49730;MONTSOREAU;241381111;hotel.lebussy@wanadoo.fr;www.hotel-lebussy.fr;-;26;12;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LA BOULE D'OR;56 rue Joachim du Bellay;49690;CORON;241490730;labouledor-coron@orange.fr;www.labouledor-coron.com;-;20;7;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL LOU CANTOU;avenue du triadou;48230;CHANAC;466482010;thierryvieilledent@orange.fr;-;-;16;7;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL RESTAURANT SPA LE PONT ROUPT;2 AVENUE DU 11 NOVEMBRE;48000;MENDE;466650143;hotel-pont-roupt@wanadoo.fr;www.hotel-pont-roupt.com;-;50;25;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LE PÉRIGORD;42 cours du 14 juillet;47000;AGEN;553775577;leperigord47@free.fr;www.leperigord47.fr;-;37;20;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL JEAN XXII ;2 RUE EDMOND ALBE;46000;CAHORS;565350766;jeanxxii@gmail.com;www.hotel-jeanxxii.com;-;20;9;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL L'AVENUE;23 avenue des Maisonnettes;43290;MONTFAUCON-EN-VELAY;471599016;avenue43@free.fr;www.hotel-rest-delavenue.fr;-;22;9;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LA VIEILLE AUBERGE;LE BOURG;43580;SAINT-PRIVAT-D'ALLIER;471572056;lavieilleauberge43@orange.fr;www.lavieilleauberge43.fr;-;38;19;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;IKAR HÔTEL ;320 RUE DE LA FÉDÉRATION;41350;SAINT-GERVAIS-LA-FORÊT;254427722;hi4105@inter-hotel.com;http://www.ikarhotel-blois.com/;-;140;59;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL ASTROTEL ;route de selles-sur-cher;41200;ROMORANTIN-LANTHENAY;254887980;astrotel@wanadoo.fr;http://www.astrotel.fr/;-;70;32;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;JURA HÔTEL;40 avenue de la Gare;39200;SAINT-CLAUDE;384452404;info@jurahotel.com;www.jurahotel.com;-;76;34;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL LE GALAXIE;le balcon de villard;38250;VILLARD-DE-LANS;476940534;contact@hotellegalaxie.com;www.hotellegalaxie.com;-;90;41;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;LE CHEVAL BLANC;5 place Charles Bidault;37150;BLÉRÉ;247303014;aguinoiseau@lechevalblancblere.fr;www.lechevalblancblere.fr;-;19;8;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL VAL DE LOIRE;33 boulevard Heurteloup;37200;TOURS;247053786;hotel.val.de.loire@club-internet.fr;http://hotel-chambre.hotelvaldeloire.fr/;-;32;14;-;-;-
03/06/2013;03/06/2013;HÔTEL;4 étoiles;-;-;HÔTEL LE CLOS D'AMBOISE;27 rue Rabelais;37400;AMBOISE;247301020;infos@leclosamboise.com;http://www.leclosamboise.com;-;42;19;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LA LOCOMOTIVE;7 boulevard pierre favreau;36100;ISSOUDUN;254211159;lalocomotive36@gmail.com;www.bar-restaurantlalocomotive.com;-;20;10;-;-;-
03/06/2013;03/06/2013;HÔTEL;1 étoile;-;-;HÔTEL F1 RENNES SUD EST CHANTEPIE;37 rue de la frébardière;35135;CHANTEPIE;299261411;h2312@accor.com;www.hotelf1.com;-;173;63;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;L'ESPÉRANCE;21 boulevard des rochers;35500;VITRÉ;299750171;restaurant.lesperance@wanadoo.fr;http://www.hotel-restaurant-lesperance.com;-;22;14;-;-;-
03/06/2013;03/06/2013;HÔTEL;1 étoile;-;-;HÔTEL PREMIÈRE CLASSE MONTPELLIER OUEST - SAINT-JEAN DE VÉDAS;allée Jean Monnet;34430;SAINT-JEAN-DE-VÉDAS;467699840;manager.montpellier.stjeandevedas@premiereclasse.fr;www.premiereclasse.fr;-;201;71;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL DES PINS;23 rue des Fauvettes;33970;LÈGE-CAP-FERRET;556606011;contact@hoteldespins.eu;www.hoteldespins.eu;-;33;14;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LE PAVILLON BLEU;75 avenue de l'océan;33950;LÈGE-CAP-FERRET;556606548;hotel.pavillonbleu@wanadoo.fr;http://www.hotel-pavillonbleu.com/;-;35;13;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;IBIS BUDGET TOULOUSE COLOMIERS;2 AVENUE HERMèS;31770;COLOMIERS;892683279;h2531@accor.com;www.ibisbudget.com;-;145;51;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;ARMEN LE TRITON;Rue du Docteur Bagot;29680;ROSCOFF;298612444;resa@hotel-letriton.com;www.hotel-letriton.com;-;91;44;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL DU REMPART;rempart des abreuvoirs;18300;SANCERRE;248541018;hotel-du-rempart@orange.fr;http://www.hotel-du-rempart.com/;-;44;17;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LE VIEUX LOGIS;1 ET 3 RUE DU 8 MAI 1945;17500;CLAM;546702013;info@vieuxlogis.com;www.vieuxlogis.com;-;26;10;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL ABACUS;23 bis Boulevard Aristide Briand;17200;ROYAN;546058422;contact@hotel-abacus.com;www.hotel-abacus.com;-;60;24;-;-;-
03/06/2013;03/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL D'ORBIGNY;47 boulevard de la République;17340;CHÂTELAILLON-PLAGE;546562468;hotel-dorbigny@wanadoo.fr;http://www.hotel-dorbigny.com/;-;60;27;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LA MAISON NORMANDE;4 place du Maréchal de lattre tassigny;14360;TROUVILLE-SUR-MER;231881225;halle.philippe@wanadoo.fr;www.maisonormande.com;-;30;14;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL TERMINUS SAINT CHARLES;1 place des Marseillaises;13001;MARSEILLE;491907059;hotel.beaulieu.glaris@wanadoo.fr;http://www.hotelterminusmarseille.com;-;68;38;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;AU MOULIN D'ALEXANDRE;rue de la traverse;12130;SAINTE-EULALIE-D'OLT;565474585;moulin.alexandre@wanadoo.fr;http://aumoulindalexandre.fr/index.php;-;19;9;-;-;-
03/06/2013;03/06/2013;HÔTEL;1 étoile;-;-;HÔTEL DU DOMAINE D'IMBOURS;domaine d'imbours;7220;LARNAS;475543950;imbours@franceloc.fr;www.domaine-imbours.com;-;264;104;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL MARBELLA;120 boulevard carnot;6300;NICE;493893935;hotel-marbella@wanadoo.fr;-;-;20;13;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LA VIGNERAIE DE LEVENS;82 route de saint-blaise;6670;LEVENS;493797760;lavigneraiedelevens@orange.fr;http://www.hotel-restaurant-la-vigneraie.com/;-;36;18;-;-;-
03/06/2013;03/06/2013;HÔTEL;1 étoile;-;-;HÔTEL F1 GENÈVE AÉROPORT ;ROUTE DE MEYRIN;1210;FERNEY-VOLTAIRE;891705254;H2257-RE@ACCOR.COM;www.hotelf1.com;-;272;96;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;L'OPPIDUM;ville haute, Rue de la Poste;31510;SAINT-BERTRAND-DE-COMMINGES;561883350;lopiddum@orange.fr;http://hoteloppidum.com/;-;30;15;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL HERMANCE;19 rue joseph bertola;1200;BELLEGARDE-SUR-VALSERINE;450562804;hotel.hermance@wanadoo.fr;http://www.hotelhermance.com/;-;50;24;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;EAST HOTEL;17 Route de la Wantzenau;67800;HOENHEIM;388810210;info@easthotel67.com;www.easthotel67.com;-;130;52;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LE CAPRICORNE;15 rue de Pont L'Abbé;29710;POULDREUZIC;298544006;hotel.le.capricorne@orange.fr;http://www.hotel-lecapricorne.com/;-;29;12;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL LE LAC DES GRAVES;jaulhac;15590;LASCELLE;471479406;contact@lacdesgraves.com;http://www.lacdesgraves.com;-;50;23;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LA SAMIANE;2 place de la samiane;1290;PONT-DE-VEYLE;385362929;lasamiane@gmail.com;http://www.hotel-restaurant-pont-de-veyle.fr/;-;20;7;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;AUBERGE DE LA NAUZE;fongauffier;24170;SAGELAT;553284481;aubergedelanauze@wanadoo.fr;http://www.aubergedelanauze.fr;-;18;8;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL LA TOUR DES FÉES;33 avenue du 11 novembre 1945;30260;QUISSAC;466771939;hotel-latourdesfees@orange.fr;http://hotel-quissac.com;-;22;9;-;-;-
03/06/2013;03/06/2013;HÔTEL;2 étoiles;-;-;LES FALAISES;Gluges;46600;MARTEL;565271844;lesfalaises.gluges@viveole.com;http://www.les-falaises.com;-;32;14;-;-;-
