REF	ETUD	LOCA	REG	DPT	COM	INSEE	TICO	ADRS	STAT	AFFE	PPRO	DPRO	AUTR	SCLE	
PA30000094	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Vauvert	Languedoc-Roussillon	30	Vauvert	30341	Temple protestant		propriété de la commune		Le temple protestant en totalité (cad. BB 504) : inscription par arrêté du 30 janvier 2012	2012/01/30 : inscrit MH	Durand Charles (architecte)	1er quart 19e siècle	
PA30000093	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Quissac	Languedoc-Roussillon	30	Quissac	30210	Temple protestant		propriété de la commune		Le temple protestant en totalité (cad. AW 120) : inscription par arrêté du 30 janvier 2012	2012/01/30 : inscrit MH	Fauquier (architecte)	2e quart 19e siècle	
PA30000092	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Bernis	Languedoc-Roussillon	30	Bernis	30036	Temple protestant		propriété de la commune		Le temple protestant en totalité (cad. BA 64) : inscription par arrêté du 30 janvier 2012	2012/01/30 : inscrit MH	Durand Charles (architecte) ; Durant Simon (architecte)	1ère moitié 19e siècle	
PA30000091	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Beauvoisin	Languedoc-Roussillon	30	Beauvoisin	30033	Temple protestant		propriété de la commune		Le temple protestant en totalité, avec sa clôture (cad. C 189) : inscription par arrêté du 30 janvier 2012	2012/01/30 : inscrit MH	Durand Charles (architecte)	1er quart 19e siècle	
PA30000097	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Nîmes	Languedoc-Roussillon	30	Nîmes	30189	Carrière romaine de Barutel	Alès (route d')	propriété d'une personne privée		La carrière (cad. AX 88) : inscription par arrêté du 25 avril 1991	1991/04/25 : inscrit MH		Gallo-romain	
PA30000095	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Gallargues-le-Montueux	Languedoc-Roussillon	30	Gallargues-le-Montueux	30123	Tour médiévale, anciennement appelée tour romaine	Réforme (rue de la)	propriété de la commune		La tour romaine : classement par liste de 1875	1875 : classé MH		limite 13e siècle 14e siècle	
PA66000036	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Rodès	Languedoc-Roussillon	66	Rodès	66165	Pont aqueduc d'en Labau		propriété de la commune ; propriété privée		Les vestiges du pont aqueduc et des arches de la roche Colomère situés en limite des communes de Rodès, Bouleternère et Ille-sur-Têt (cf plan annexé à l' arrêté) : le pont aqueduc d' en Labau, pour la rive droite, au lieudit Pont de Labau, parcelles B 676 (Rodès) et A 990 (Bouleternère) ; pour la rive gauche, parcelles A 1096 (Rodès) et I 5 (Ille-sur-Têt) ; les arches de la Roche Colomère : parcelle A 1052 et A 1053, lieudit la Devèze (Rodès) : inscription par arrêté du 19 décembre 2011	2011/12/19 : inscrit MH		14e siècle ; 15e siècle	
PA66000035	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Port-Vendres	Languedoc-Roussillon	66	Port-Vendres	66148	Feu métallique du môle, situé à l'extrémité du môle du port		propriété de l'Etat	affecté au ministère chargé de l'écologie, du développement durable, des transports et du logement	Le feu métallique en totalité (cad. AH 88) : inscription par arrêté du 12 octobre 2011	2011/10/12 : inscrit MH		4e quart 19e siècle	
PA66000034	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Port-Vendres	Languedoc-Roussillon	66	Port-Vendres	66148	Phare du Cap Béar, situé à la pointe du Cap Béar		propriété de l'Etat	affecté au ministère l'écologie, du développement durable et de l'énergie	Le phare en totalité, ainsi que la plate-forme, le talus et l' escalier d' accès depuis la plate-forme inférieure, les façades et toitures des des bâtiments annexes et le mur de clôture (cad. AK 90) : classement par arrêté du 9 octobre 2012	2012/10/09 : classé MH		1er quart 20e siècle	
PA66000032	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Canet-en-Roussillon	Languedoc-Roussillon	66	Canet-en-Roussillon	66037	Château de l'Esparrou		propriété privée		Le château en totalité (cad. AX 31, lieudit l' Esparrou est) : inscription par arrêté du 12 octobre 2011	2011/10/12 : inscrit MH	Petersen Viggo Dorph (architecte)	4e quart 19e siècle	
PA66000030	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Font-Romeu-Odeilla-Via	Languedoc-Roussillon	66	Font-Romeu-Odeilla-Via	66124	Immeuble des maisons solaires Trombe-Michel	Cami-del-Sol (rue) 6	propriété privée		L' immeuble, à savoir les façades et toitures ainsi que le système du mur Trombe (cad. AY 51) : inscription par arrêté du 25 mai 2011	2011/05/25 : inscrit MH	Michel Jacques (architecte) ; Trombe Félix (ingénieur)	3e quart 20e siècle	
PA34000085	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Sète	Languedoc-Roussillon	34	Sète	34301	Phare du Mont-Saint-Clair	Phare (chemin du) 197	propriété de l'Etat	affecté au ministère chargé de l'écologie, du développement durable, des transports et du logement	Le phare en totalité, avec ses aménagements annexes (maison du gardien et terrasses avec la clôture) (cad. AS 42, 43) : inscription par arrêté du 12 octobre 2011	2011/10/12 : inscrit MH	Hermann-Guiche (ingénieur)	1er quart 20e siècle	
PA34000084	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Montpellier	Languedoc-Roussillon	34	Montpellier	34172	Ancien couvent des Récollets	Proudhon (rue)	propriété du département		La chapelle de l' ancien couvent en totalité, y compris son décor (cad. CD 289) : inscription par arrêté du 14 avril 2011	2011/04/14 : inscrit MH		2e moitié 17e siècle	
PA34000083	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Minerve	Languedoc-Roussillon	34	Minerve	34158	Citadelle		propriété de la commune ; propriété privée		Les vestiges des fortifications de la citadelle et du château en totalité (cad. B 43 à 45,47, 48, 55, 59, 64 à 66, 84, 88, 95, 96, 100, 119, 123 à 125, 128 à 131, 134, 135, 137, 140, 249, 253, 706, 717, 716, 719 à 721, 728, 729, 780, 786, 788, 804, 807, 808, 810, 813 à 816 ; domaine public communal, cf plan annexé à l' arrêté) : inscription par arrêté du 5 janvier 2011	2011/01/05 : inscrit MH		13e siècle	
PA34000082	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Agde	Languedoc-Roussillon	34	Agde	34003	Ancien phare du Mont-Saint-Loup		propriété de l'Etat	affecté au ministère chargé de la défense	L' ancien phare en totalité (cad. KP 15) : inscription par arrêté du 12 octobre 2011	2011/10/12 : inscrit MH		1ère moitié 19e siècle	
PA30000090	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Pougnadoresse	Languedoc-Roussillon	30	Pougnadoresse	30205	Château		propriété d'une personne privée		Les façades et toitures du château avec son terrain d' assise et toutes ses fortifications dont la tour ronde sud-ouest en totalité ainsi que l' ancienne chapelle en totalité (cad. B 287 à 289, 277) : inscription par arrêté du 29 juillet 2011	2011/07/29 : inscrit MH		12e siècle	
PA30000089	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Le Grau-du-Roi	Languedoc-Roussillon	30	Grau-du-Roi (Le)	30133	Phare de l'Espiguette		propriété de l'Etat	affecté au ministère de l'écologie, du développement durable et de l'énergie	Le phare, à savoir la tour en totalité, les façades et toitures des logements et bâtiments annexes, la cour avec son pavage, le puits, les murs de clôture et le terrain d' assiette de son enclos (cad. CZ 10, lieudit l' Espiguette) : classement par arrêté du 9 octobre 2012	2012/10/09 : classé MH	Lenthéric Charles (ingénieur)	3e quart 19e siècle	
PA30000088	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Le Grau-du-Roi	Languedoc-Roussillon	30	Grau-du-Roi (Le)	30133	Ancien phare du Grau d'Aigues-Mortes ou du Grau-du-Roi	Général-de-Gaulle (quai du) 2	propriété de la commune		L' ancien phare, à savoir la tour en totalité et les façades et toitures de son soubassement carré (cad. BL 195) : classement par arrêté du 9 octobre 2012	2012/10/09 : classé MH	Courant Paul (ingénieur)	2e quart 19e siècle	
PA30000087	recensement immeubles MH ; label XXe	Languedoc-Roussillon ; Gard ; Nîmes	Languedoc-Roussillon	30	Nîmes	30189	Villa Roche	Château-Silhol (impasse du ) 62	propriété d'une personne privée		La villa en totalité, y compris le garage (cad. DN 429, 564, 440, 451) : inscription par arrêté du 20 septembre 2011	2011/09/20 : inscrit MH	Pellier Armand (architecte)	3e quart 20e siècle	
PA30000086	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Nîmes	Languedoc-Roussillon	30	Nîmes	30189	Ancien grand séminaire, siège des archives départementales	Chassaintes (rue des) 22	propriété du département		Les façades et toitures ainsi que le rez-de-chaussée de l' aile nord, les deux grands escaliers de l' aile ouest et le vestibule de l' aile sud (cad. DV 64) : inscription par arrêté du 9 mars 2011	2011/03/09 : inscrit MH	Durant Simon (architecte)	2e quart 18e siècle ; 1ère moitié 19e siècle	
PA30000085	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Calvisson	Languedoc-Roussillon	30	Calvisson	30062	Hôtel particulier dit maison Margarot		propriété privée		Les façades et toitures avec la cage d' escalier en totalité, ainsi que le sol de la cour jardin avec la clôture du 19e siècle (cad. AC 126, 127) : inscription par arrêté du 19 septembre 2011	2011/09/19 : inscrit MH		4e quart 18e siècle ; 19e siècle	
PA30000084	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Nîmes	Languedoc-Roussillon	30	Nîmes	30189	Ancien hôtel du Louvre	Notre-Dame (rue) 2bis, 4	propriété d'une société privée		L' ancien hôtel en totalité, à l' exception pour les intérieurs du rez-de-chaussée de la parcelle 261 modifiée par l' installation du cinéma (cad. EZ 441, 442, 261 comprenant les anciennes écuries situées en partie sur la parcelle 263, cf plan annexé à l' arrêté) : inscription par arrêté du 17 janvier 2011	2011/01/17 : inscrit MH		3e quart 18e siècle	
PA30000083	recensement immeubles MH ; label XXe	Languedoc-Roussillon ; Gard ; Lédenon	Languedoc-Roussillon	30	Lédenon	30145	Villa solaire Gosselin située quartier des Garrigues-Basses	Grandes-Vignes (chemin des)	propriété privée		La Villa solaire en totalité, ainsi que le sol de la parcelle (cad. E 28) : inscription par arrêté du 27 juin 2011	2011/06/27 : inscrit MH	Pellier Armand (architecte)	4e quart 20e siècle	
PA30000082	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Nîmes	Languedoc-Roussillon	30	Nîmes	30189	Maison, actuelle maison de retraite protestante	Sauve (rue de) 5, 7	propriété d'une association		Les façades et toitures de l' aile sud sur la rue de Sauve, ainsi que le grand escalier du n° 7 (cad. DV 238, 239) : inscription par arrêté du 6 juillet 2011	2011/07/06 : inscrit MH		milieu 18e siècle	
PA11000042	recensement immeubles MH	Languedoc-Roussillon ; Aude ; Narbonne	Languedoc-Roussillon	11	Narbonne	11262	Maison	Louis-Blanc (rue) 11	propriété privée		Les pierres sculptées encastrées dans la façade sur cour de la maison : classement par arrêté du 29 septembre 1952	1952/09/29 : classé MH			
PA66000029	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Mont-Louis	Languedoc-Roussillon	66	Mont-Louis	66117	Puits de la ville, situé dans la ville		propriété de la commune		Le puits (cad. AB 105) : inscription par arrêté du 22 septembre 2010	2010/09/22 : inscrit MH		4e quart 17e siècle	
PA66000028	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Mont-Louis	Languedoc-Roussillon	66	Mont-Louis	66117	Eglise paroissiale Saint-Louis, située dans la ville		propriété de la commune		L'église paroissiale (cad. AB 53) : inscription par arrêté du 8 octobre 2010	2010/10/08 : inscrit MH		2e quart 18e siècle	
PA48000014	recensement immeubles MH	Languedoc-Roussillon ; Lozère ; Marvejols	Languedoc-Roussillon	48	Marvejols	48092	Domaine de Saint-Lambert		propriété d'une personne privée		Les parties suivantes du domaine : le château en totalité (cad. C 7) ; les façades et toitures de la ferme construite en 1777 et située en équerre au nord-ouest du château (cad. C 15) ; le jardin en totalité avec ses terrasses, murs de clôture, portails et toutes les constructions (cad. C 5, 6, 8, 12) ainsi que les sols des parcelles C 9 et C 130 correspondant aux anciens jardins : inscription par arrêté du 22 septembre 2010	2010/09/22 : inscrit MH		3e quart 18e siècle ; 4e quart 19e siècle	
PA34000081	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Buzignargues	Languedoc-Roussillon	34	Buzignargues	34043	Château	Bénovie (rue de la) 101	propriété d'une personne privée		Le château en totalité, y compris ses jardins et terrasses (cad. B 189, 190) : inscription par arrêté du 19 août 2010	2010/08/19 : inscrit MH			
PA34000080	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Castelnau-le-Lez	Languedoc-Roussillon	34	Castelnau-le-Lez	34057	Glacière double	Roger-Salengro (rue) 19	propriété d'une personne privée		La glacière double, en totalité, avec son hall d'accès, située à l'intérieur de la maison sise 19, rue Roger-Salengro (cad. BA 51) : inscription par arrêté du 19 août 2010	2010/08/19 : inscrit MH		18e siècle	
PA34000079	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Villeneuvette	Languedoc-Roussillon	34	Villeneuvette	34338	Eglise paroissiale Notre-Dame de l'Assomption		propriété de la commune		L'église paroissiale en totalité, y compris son décor intérieur (cad. AB 59) : inscription par arrêté du 10 mars 2010	2010/03/10 : inscrit MH	Pauthe Jacques (peintre)	2e moitié 19e siècle	
PA34000078	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; La Tour-sur-Orb	Languedoc-Roussillon	34	Tour-sur-Orb (La)	34312	Ancienne usine de chaux		propriété d'une personne privée		L'ancienne usine de chaux (cad. AP 24, 25) : inscription par arrêté du 17 mars 2010	2010/03/17 : inscrit MH		2e moitié 19e siècle	
PA30000081	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Nîmes	Languedoc-Roussillon	30	Nîmes	30189	Hôtel Davé	Talabot (boulevard) 15 ; Fénelon (rue)	propriété d'une association		Les façades et toitures, ainsi que la cage d'escalier (cad. HA 996) : inscription par arrêté du 3 septembre 2010	2010/09/03 : inscrit MH		4e quart 19e siècle	
PA30000080	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Nîmes	Languedoc-Roussillon	30	Nîmes	30189	Hôtel Colomb de Daunant	Fénelon (rue) 23	propriété d'une association		Les façades et toitures (cad. HA 991) : inscription par arrêté du 8 octobre 2010	2010/10/08 : inscrit MH		4e quart 19e siècle	
PA30000079	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Nîmes	Languedoc-Roussillon	30	Nîmes	30189	Eglise Saint-Charles	Gambetta (boulevard)	propriété de la commune		L'église, avec ses annexes et son parvis, en totalité (cad. DO 175) : inscription par arrêté du 9 août 2010	2010/08/09 : inscrit MH	Rollin Claude (architecte)	3e quart 18e siècle ; 19e siècle	
PA30000078	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Aubais	Languedoc-Roussillon	30	Aubais	30019	Plan taurin dit Plan des Théâtres	Château (place du)	propriété de la commune ; propriété privée		Le sol du plan taurin (non cadastré) , situé place du Château, ainsi que les façades environnantes (cad. A 1035, 1161, 1164 à 1168, 2801, 2802) : inscription par arrêté du 30 septembre 2003	2003/09/30 : inscrit MH			
PA66000027	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Thuir	Languedoc-Roussillon	66	Thuir	66210	Villa Palauda	Docteur-Ecoiffier (avenue du) 9004	propriété de la commune		Les façades et toitures de la villa et de son jardin d'hiver (cad. AH 35, 38) : inscription par arrêté du 2 octobre 2009	2009/10/02 : inscrit MH		19e siècle	
PA66000026	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Le Tech	Languedoc-Roussillon	66	Tech (Le)	66206	Ermitage Saint-Guilhem de Combret		propriété privée		La chapelle de l'ermitage, en totalité (cad. A 30) : inscription par arrêté du 7 décembre 2009	2009/12/07 : inscrit MH		11e siècle	
PA66000025	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Saint-Paul-de-Fenouillet	Languedoc-Roussillon	66	Saint-Paul-de-Fenouillet	66187	Ancien enclos canonial du chapitre de Saint-Paul		propriété privée ; propriété de la commune		En totalité, l'ensemble des bâtiments anciens de l'ancien enclos canonial ainsi que les sols des parcelles correspondantes, à savoir la sacristie, la salle capitulaire (avec sa peinture murale) , les vestiges du cloître (avec son décor de gypserie) , le vieux clocher, le tinal, la maîtrise, la maison canoniale avec ses décors de gypserie au premier et deuxième étages, ainsi que les façades et toitures des maisons donnant sur les jardins vers l'intérieur de l'enclos (cad. B 290, 2354, 291 à 295, 2317, 296 à 301, 303, 306, 307, 311, 312) : inscription par arrêté du 19 octobre 2009	2009/10/19 : inscrit MH			
PA66000024	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Prats-de-Mollo-la-Preste	Languedoc-Roussillon	66	Prats-de-Mollo-la-Preste	66150	Chapelle Sainte-Marguerite et Hospice Sainte-Marie ou Notre-Dame du col d'Ares		propriété d'une personne privée	affecté à la commune	L'ensemble formé par la chapelle et les vestiges de l'Hospice, avec le sol de la parcelle D 624, lieudit Sainte-Marguerite : inscription par arrêté du 5 juin 2009	2009/06/05 : inscrit MH		13e siècle ; 14e siècle ; 15e siècle ; 16e siècle ; 17e siècle ; 18e siècle ; 19e siècle	
PA66000023	recensement immeubles MH ; label XXe	Languedoc-Roussillon ; Pyrénées-Orientales ; Font-Romeu-Odeillo-Via	Languedoc-Roussillon	66	Font-Romeu-Odeillo-Via	66124	Four solaire d'Odeillo	Four-Solaire (rue du) 7	propriété d'un établissement public de l'Etat		Le four solaire, à savoir les façades et toitures du bâtiment parabole et du bâtiment four, ainsi que le champ d'héliostats (cad. AV 37, 43 à 45, 49) : inscription par arrêté du 14 mai 2009	2009/05/14 : inscrit MH	Vicariot Henri (architecte)	3e quart 20e siècle	
PA66000022	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Le Perthus	Languedoc-Roussillon	66	Perthus (Le)	66137	Site archéologique du Panissars, situé au col de Panissars		propriété de la commune		Le site archéologique de Panissars, y compris les vestiges du tronçon de la voie domitienne, les vestiges du trophée de Pompée et de l'ancien prieuré Sainte-Marie, ainsi que le sol de la parcelle AC 156 : classement par arrêté du 8 mars 2010	2010/03/08 : classé MH		Antiquité ; 11e siècle	
PA34000077	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Bauzille-de-Putois	Languedoc-Roussillon	34	Saint-Bauzille-de-Putois	34243	Château		propriété d'une personne privée		Les façades et toitures du château ; le parc, tel qu'il est délimité dans son enceinte ancienne, avec son jardin à labyrinthe de buis ainsi que son système hydraulique (cad. D 234, 243, 244, 251, 1351, 1352, 1355, 1486 (château) ) : inscription par arrêté du 7 août 2009	2009/08/07 : inscrit MH			
PA34000076	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Montagnac	Languedoc-Roussillon	34	Montagnac	34162	Ancienne chapelle du couvent des Augustins, chapelle des Pénitents	Pierre-Sirven (avenue) 21	propriété d'une association diocésaine		L'ancienne chapelle en totalité (cad. BR 301) : inscription par arrêté du 7 août 2009	2009/08/07 : inscrit MH		17e siècle ; 18e siècle ; 19e siècle	
PA34000075	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Montpellier	Languedoc-Roussillon	34	Montpellier	34172	Jardin de la Reine et bâtiments de l'ancien Rectorat, ancienne Intendance du Jardin des Plantes	Faubourg-Saint-Jaumes (rue du)	propriété de l'Etat	affecté au ministère chargé de l'éducation nationale	Le Jardin de la Reine et les bâtiments de l'ancien Rectorat, y compris les sols des parcelles et les éléments d'architecture subsistants, l'ancienne conciergerie et le portail, situés rue du Faubourg-Saint-Jaumes (cad. BW 94 à 96, 246, 249, 250 et 108 - Jardin de la Reine) : inscription par arrêté du 13 mai 2009	2009/05/13 : inscrit MH			
PA30000077	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Nîmes	Languedoc-Roussillon	30	Nîmes	30189	Chapelle Sainte-Eugénie	Sainte-Eugénie (rue)	propriété de la commune		La chapelle en totalité (cad. EY 354) : inscription par arrêté du 20 juillet 2009	2009/07/20 : inscrit MH		10e siècle ; 4e quart 19e siècle	
PA30000076	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Rivières	Languedoc-Roussillon	30	Rivières	30215	Ancien hôpital		propriété d'un établissement public communal		L'ancien hôpital en totalité, avec son enclos et ses murs de clôture (cad. A 431, 1449) : inscription par arrêté du 8 juillet 2009	2009/07/08 : inscrit MH	Rollin Guillaume (architecte)	1er quart 18e siècle	
PA30000075	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Vissec	Languedoc-Roussillon	30	Vissec	30353	Ancien château (dit castellas) et demeure seigneuriale		propriété privée		Les ruines de l'ancien château et la demeure seigneuriale (cad. A 181 à 184 - ancien château, 200, 201 - demeure seigneuriale) : inscription par arrêté du 2 février 2009	2009/02/02 : inscrit MH		2e moitié 13e siècle ; 4e quart 17e siècle	
